rotation,cce,ece,test_acc
15,0.05603717640042305,0.08420400944650178,0.979315459728241
0,0.04936090111732483,0.08734509573727843,0.9944072365760803
120,0.5205033421516418,0.4523772633567452,0.2571198344230652
45,0.26382699608802795,0.09125455351620915,0.6528829336166382
75,0.45001840591430664,0.38306115801036356,0.25522711873054504
165,0.47653353214263916,0.38929144846498964,0.39074277877807617
60,0.3931572735309601,0.26923260940611365,0.40712326765060425
225,0.4964403212070465,0.4050177291497588,0.2987480163574219
90,0.5025967359542847,0.4649723817020655,0.2056821882724762
180,0.48309454321861267,0.39577264504432674,0.4086795151233673
105,0.5377472639083862,0.48258222689330577,0.21103008091449738
30,0.11899437010288239,0.04826420133262872,0.8787546753883362
135,0.47818851470947266,0.4066165323585272,0.3194763958454132
150,0.4721366763114929,0.386011836668849,0.3663102686405182
210,0.4760049879550934,0.3672374217480421,0.3750903308391571
195,0.46767187118530273,0.3621825301557779,0.41078200936317444
